Procedure_Code,Region,Avg_Charge
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AK - Anchorage,34805.12890625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AL - Birmingham,40237.361628605766
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AL - Dothan,36285.18359375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AL - Huntsville,18878.95556640625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AL - Mobile,22802.2701171875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AL - Montgomery,16920.791015625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AL - Tuscaloosa,19721.162109375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AR - Fort Smith,14799.3076171875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AR - Jonesboro,20249.712890625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AR - Little Rock,31332.953667534723
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AR - Springdale,28511.545572916668
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AR - Texarkana,23251.6865234375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AZ - Mesa,36770.841796875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AZ - Phoenix,30919.632421875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AZ - Sun City,46100.21875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AZ - Tucson,28123.85400390625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Bakersfield,44291.09375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Chico,51234.443359375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Contra Costa County,82099.30078125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Fresno,30844.1708984375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Los Angeles,49992.507512019234
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Modesto,63249.674479166664
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Napa,105929.46875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Orange County,42615.761328125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Palm Springs/Rancho M,69576.009765625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Redding,55775.201822916664
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Sacramento,69165.71028645833
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Salinas,53860.17578125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - San Bernardino,36866.31640625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - San Diego,46304.43212890625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - San Francisco,62077.71875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - San Jose,64344.234375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - San Luis Obispo,64419.66796875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - San Mateo County,79160.40104166667
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Santa Barbara,44837.908203125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Santa Rosa,62740.43359375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Stockton,59184.7421875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA - Ventura,62943.092447916664
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CO - Colorado Springs,30270.115234375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CO - Denver,44830.046875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CO - Fort Collins,28266.4375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CO - Grand Junction,22619.025390625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CO - Greeley,30385.2841796875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CO - Pueblo,37752.3046875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CT - Bridgeport,26607.66943359375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CT - Hartford,18448.950032552082
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CT - New Haven,21471.1546875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,DC - Washington,21403.198350694445
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,DE - Wilmington,15247.26953125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Bradenton,41335.376953125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Clearwater,39555.582682291664
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Fort Lauderdale,42290.005615234375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Fort Myers,37927.110595703125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Gainesville,32861.498046875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Hudson,76212.384765625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Jacksonville,35214.430943080355
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Lakeland,50063.7109375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Miami,55597.3271484375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Ocala,33401.556640625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Orlando,39395.665690104164
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Ormond Beach,19684.139322916668
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Panama City,52182.4306640625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Pensacola,46340.4287109375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Sarasota,31494.625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - St. Petersburg,49975.484375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Tallahassee,29784.161458333332
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL - Tampa,50634.3037109375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,GA - Albany,24056.427734375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,GA - Atlanta,29378.669270833332
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,GA - Augusta,39601.865885416664
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,GA - Columbus,18721.404296875
